name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold
passive_hsl_slack,1265,mult,-2.21975256596651,3.72023542207551,down,NaN,1.63829787234036
k_off,21.7824,mult,-1.56181311857007,78.4405391083183,down,NaN,2.8731343283581
k_on,53523000,mult,1.36739251112244,78.7613501475332,up,NaN,2.83088235294107
k_3,26.4756,mult,0.733327346154082,19.4130715298048,up,NaN,5.9230769230767
compliance_factor,0.5,mult,-0.670567487664871,13.4725870929353,down,0.207792207792192,1.34999999999998
k_1,11.4447,mult,0.630210378634127,15.4293679389675,up,NaN,5.83333333333312
k_2,114.447,mult,-0.628610720885247,14.1764988501639,down,NaN,6.11111111111088
cb_number_density,6.9e+16,mult,0.622973837346996,28.5477709836887,up,NaN,3.81188118811867
x_ps,5,mult,0.545741829336869,4.57956764366381,down,NaN,42.7777777777762
k_boltzmann,1.38e-23,mult,0.363880527002965,3.87531708989531,up,4.32467532467496,2.11371237458182
temperature,288,mult,0.363880527002965,3.87531708989531,up,4.32467532467496,2.11371237458182
k_5_1,1,mult,-0.316328081315755,7.81579836601689,down,NaN,2.46794871794863
k_5_0,814.022,mult,0.302834819033142,4.25928416507708,up,-3.63636363636335,6.88235294117603
k_force,0.00015,mult,0.276633907302582,4.25073271772732,up,NaN,4.1847826086955
k_cb,0.001,mult,0.260195165322548,10.8327418947138,up,2.63636363636345,5.01941747572787
k_7_0,104,mult,-0.248686018718257,2.36780222658081,down,NaN,2.05882352941169
k_coop,19.9526,mult,-0.19029265267384,2.17295979347193,down,NaN,4.58333333333316
k_4_0,10,mult,-0.104270651699088,1.89192585964713,down,-3.62337662337634,8.84848484848428
passive_k_linear,14,mult,-0.0763727113704124,1.73119075551762,down,-0.67532467532462,3.27777777777764
k_7_1,0.3248,mult,0.0605322931847998,1.2211091481029,up,0.415584415584382,1.4219858156028
k_4_1,0.1,mult,-0.0424972091142065,1.24650108428061,down,-2.64935064935045,7.12328767123247
k_6_1,0.01,mult,-0.026615671087134,1.15929580563824,down,0.0519480519480481,1.33606557377046
k_8,0.01,mult,0.0210931796824722,1.24312931617691,up,0.246753246753226,1.24290220820187
k_6_0,0.1,mult,-2.03904719593844e-05,1.00020144075696,down,0,1.0025974025974
max_rate,5000,mult,0,1.0067189380062,up,0,1.0025974025974
