id,condition,genotype,scale_mode,source_onset_time,time_shift,baseline_value,scale_factor,peak_force,time_to_peak,relax_half_time,fwhm,end_time,n_points
ctrl_before,Control Before,Control,least_squares,0.16025641,0.31974359,1.145841e-08,11631083727.3314,2930.67200185396,0.385,0.329999999999979,0.398999999999979,1.48499999999995,1486
ctrl_acute,Control Mava acute,Control,least_squares,0.352564103,0.31974359,0,11631083727.3314,1017.50262807914,0.544999999999997,0.371999999999959,0.605999999999956,1.48499999999995,1486
ctrl_24h,Control Mava 24 h,Control,least_squares,0.16025641,0.31974359,4.47815e-10,11631083727.3314,1345.08720394384,0.353,0.250999999999991,0.389999999999991,1.40899999999996,1410
hcm_before,H251N Before,H251N,least_squares,0.288461538,0.191538462,6.83630366666667e-09,21786355149.2881,10057.0821974799,0.417,0.174999999999992,0.404999999999992,1.34499999999996,1346
hcm_acute,H251N Mava acute,H251N,least_squares,0.224358974,0.191538462,6.52949e-10,21786355149.2881,3325.87523837113,0.352,0.136,0.383,1.37699999999996,1378
hcm_24h,H251N Mava 24 h,H251N,least_squares,0.192307692,0.191538462,1.13667766666667e-08,21786355149.2881,5362.35944710243,0.448,0.16099999999999,0.466999999999991,1.34499999999996,1346
