scenario,baseline,peak,net_peak,relax_half
linear   slack=1265 (baseline),820.815853388164,5014.9263977822,4194.11054439403,0.175
exp      slack=1265 s=100 L=25,963.960750771552,5829.87283994594,4865.91208917439,0.223
linear   slack=1200 (stretch),1710.84459496351,6107.36181337045,4396.51721840694,0.193
exp      slack=1200 s=100 L=25,1661.5497361726,5960.22227524461,4298.67253907201,0.186
exp      slack=1200 s=100 L=10,3458.90473144639,7128.79349260778,3669.8887611614,0.154
exp      slack=1200 s=50  L=25,1349.76075896963,5740.1892187142,4390.42845974457,0.191
exp      slack=1200 s=200 L=25,2114.24062840893,6283.19289556357,4168.95226715464,0.18
