genotype,ratio,acute_run_id,acute_fraction,peak,time_to_peak,relax_half_time,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,ctrl_acute_r10_s02,0,3900.37907111363,0.278,0.157,2083.1695952072,0.0484999999999999,0.249,0.872329108531217,4.73195876288661,-0.369477911646586,23.288905734445
Control,10,ctrl_acute_r10_s02,1,656.875075367602,0.267,0.208,2083.1695952072,0.0484999999999999,0.249,-0.684675181089965,4.50515463917527,-0.164658634538153,20.792310892411
Control,20,ctrl_acute_r20_s03,0,2997.87397513758,0.231,0.0950000000000001,2083.1695952072,0.0484999999999999,0.249,0.439092612543337,3.76288659793815,-0.618473895582329,14.7346278308495
Control,20,ctrl_acute_r20_s03,1,692.805127968297,0.252,0.226,2083.1695952072,0.0484999999999999,0.249,-0.667427400264361,4.1958762886598,-0.0923694779116466,18.0593692848109
H251N,10,hcm_acute_r10_s02,0,8319.29811573164,0.345,0.350999999999983,4826.62898960451,0.223,0.16,0.72362494271873,0.547085201793721,1.19374999999989,2.24797433824611
H251N,10,hcm_acute_r10_s02,1,3090.0564221804,0.1995,0.0940000000000001,4826.62898960451,0.223,0.16,-0.359789942662736,-0.105381165919283,-0.4125,0.310710242971763
H251N,20,hcm_acute_r20_s03,0,6140.18278231549,0.2545,0.0850000000000001,4826.62898960451,0.223,0.16,0.272147247186407,0.141255605381165,-0.46875,0.313743832702739
H251N,20,hcm_acute_r20_s03,1,3265.44611132648,0.1765,0.102,4826.62898960451,0.223,0.16,-0.32345201622923,-0.208520179372197,-0.3625,0.279508122008168
