genotype,ratio,n_starts,min_fit_error,median_fit_error,max_fit_error,boundary_runs,best_run_id,best_metric_score,k_1_spread,k_3_spread,k_5_0_spread,k_4_0_spread,k_7_3_spread
Control,10,4,0.02794579845,0.02959624952,0.03325590535,3,ctrl_acute_r10_s02,6.34644086819562,73.9773387565369,59.9325529387932,3.28302350012561,40.0195493429249,99.7009213690389
Control,20,4,0.02572645141,0.027477383725,0.04418957311,4,ctrl_acute_r20_s03,7.86798940479508,60.5443784496295,1.38732862137405,5.00396638451134,3.38135289562199,1.71997716628504
H251N,10,4,0.08710755349,0.08958981948,0.09315317574,4,hcm_acute_r10_s02,0.258524115289195,3.15270648554675,7.86656819927762,1.77768305375053,13.6322789360173,10.8381387725643
H251N,20,4,0.08882914923,0.092283647425,0.09466693926,4,hcm_acute_r20_s03,0.127495614583206,5.84977948633287,5.21904251739223,2.23282327177822,62.4787571422837,30.350448660347
