param,best,x_value,peak_force
cb_number_density,6.9e+16,6.9e+15,1027.20168198959
cb_number_density,6.9e+16,1.486559936122e+16,2379.2707306144
cb_number_density,6.9e+16,3.20269629519282e+16,5730.78647264177
cb_number_density,6.9e+16,6.9e+16,14121.4725668261
cb_number_density,6.9e+16,1.486559936122e+17,32151.5749007185
cb_number_density,6.9e+16,3.20269629519282e+17,55699.5361491157
cb_number_density,6.9e+16,6.9e+17,78008.3513637152
x_ps,5,0.5,1375.99512418754
x_ps,5,1.07721734501594,2437.42203326888
x_ps,5,2.32079441680639,5267.46580078598
x_ps,5,5,14121.4725668261
x_ps,5,10.7721734501594,39190.7237156119
x_ps,5,23.2079441680639,69686.5196618842
x_ps,5,50,86833.2764270185
k_3,27.0512,2.70512,1100.22340743312
k_3,27.0512,5.82800436869905,2533.40027359422
k_3,27.0512,12.5560547855826,5983.78189560907
k_3,27.0512,27.0512,14121.4725668261
k_3,27.0512,58.2800436869905,30287.8011695181
k_3,27.0512,125.560547855826,50330.9805280849
k_3,27.0512,270.512,67691.7489489504
k_on,10000000,1000000,1026.90114833301
k_on,10000000,2154434.69003188,2386.86256100928
k_on,10000000,4641588.83361278,5776.89686783503
k_on,10000000,10000000,14121.4725668261
k_on,10000000,21544346.9003188,29659.0824065808
k_on,10000000,46415888.3361278,44113.5121621588
k_on,10000000,100000000,52685.3524730939
k_off,11.1194,1.11194,54652.0112641479
k_off,11.1194,2.39560210923405,46142.1911086494
k_off,11.1194,5.16116828764739,29484.3090354956
k_off,11.1194,11.1194,14121.4725668261
k_off,11.1194,23.9560210923405,6271.28304589729
k_off,11.1194,51.6116828764739,2809.65020498856
k_off,11.1194,111.194,1265.55764535496
k_1,12.2209,1.22209,1209.89831476841
k_1,12.2209,2.63291309034107,2797.38000458889
k_1,12.2209,5.67243929766984,6534.50360654273
k_1,12.2209,12.2209,14121.4725668261
k_1,12.2209,26.3291309034107,24120.5127570996
k_1,12.2209,56.7243929766984,31356.8097501597
k_1,12.2209,122.209,35174.3365922657
k_2,122.209,12.2209,35064.4110027033
k_2,122.209,26.3291309034107,31201.5277141655
k_2,122.209,56.7243929766984,23987.547458006
k_2,122.209,122.209,14121.4725668261
k_2,122.209,263.291309034107,6617.31188404119
k_2,122.209,567.243929766984,2847.02310729561
k_2,122.209,1222.09,1228.66136412674
k_4_0,100,10,33342.9479204175
k_4_0,100,21.5443469003188,31810.8499599423
k_4_0,100,46.4158883361278,23701.9151952636
k_4_0,100,100,14121.4725668261
k_4_0,100,215.443469003188,7338.97872750254
k_4_0,100,464.158883361278,3005.93234335404
k_4_0,100,1000,1193.25576659864
k_cb,0.001,0.0001,3333.55876295601
k_cb,0.001,0.000215443469003188,6108.5172039133
k_cb,0.001,0.000464158883361278,9580.09021083643
k_cb,0.001,0.001,14121.4725668261
