genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
H251N,10,k_on,0.464158883361278,16856208.3445948,1,5376.59088195776,0.1585,0.053,0.14,0.904243825309462,0.797360196405313
H251N,10,k_on,1,36315600,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_on,2.15443469003188,78239588.4293219,0,7548.66621222765,0.672499999999983,NaN,NaN,0.625926893682468,0.567110108969506
H251N,10,k_on,4.64158883361278,168562083.445948,0,7513.28520292648,0.673499999999983,NaN,NaN,0.617179303304992,0.560722669338193
H251N,10,k_on,10,363156000,0,7514.89018954924,0.673499999999983,NaN,NaN,0.615088685749682,0.559066112314531
H251N,10,k_off,0.1,1.00414,0,7700.63446111632,0.673499999999983,NaN,NaN,0.617127907751657,0.559440694944601
H251N,10,k_off,0.215443469003188,2.16335404964862,0,7700.95064124563,0.673499999999983,NaN,NaN,0.619253373502601,0.561105228660076
H251N,10,k_off,0.464158883361278,4.66080501138394,0,7757.01035452333,0.672499999999983,NaN,NaN,0.628344453224289,0.567570325685843
H251N,10,k_off,1,10.0414,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_off,2.15443469003188,21.6335404964862,1,5354.80860074654,0.1425,0.053,0.133,0.904242052162882,0.795120346656771
H251N,10,k_off,4.64158883361278,46.6080501138393,1,865.837428699473,0.092,0.0820000000000001,0.135,0.91154355140267,0.894693768728056
H251N,10,k_off,10,100.414,1,256.112833747657,0.0815,0.0840000000000001,0.132,0.913814813790788,0.908967823462642
H251N,10,k_coop,0.1,1.91969,0,5777.16673768095,0.567499999999993,NaN,NaN,0.757274537453624,0.690652298716283
H251N,10,k_coop,0.215443469003188,4.13584673010731,0,6265.31547386789,0.508999999999995,NaN,NaN,0.773688751979002,0.697136935002292
H251N,10,k_coop,0.464158883361278,8.91041166799812,0,7109.80768704639,0.484999999999996,NaN,NaN,0.80335754730808,0.705728567568567
H251N,10,k_coop,1,19.1969,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_coop,2.15443469003188,41.3584673010731,1,9431.02711125706,0.2995,0.126,0.318,0.878078301407382,0.720149574436169
H251N,10,k_coop,4.64158883361278,89.1041166799811,1,10132.6679495914,0.277,0.0910000000000001,0.268,0.898404834858728,0.720894945024526
H251N,10,k_coop,10,191.969,1,10459.6227548908,0.265,0.0800000000000001,0.249,0.907792433845596,0.719332454300854
H251N,20,k_1,0.1,1.69527,1,5305.61394216017,0.26,0.0980000000000001,0.264,0.934629652723359,0.857684675223627
H251N,20,k_1,0.215443469003188,3.65234849697035,1,5792.45368303282,0.2575,0.0900000000000001,0.256,0.933937149515996,0.850249350224834
H251N,20,k_1,0.464158883361278,7.86874630195874,1,6031.66175125514,0.2555,0.0870000000000001,0.254,0.933628996597253,0.847882987867378
H251N,20,k_1,1,16.9527,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_1,2.15443469003188,36.5234849697035,1,6188.92481437676,0.2535,0.0850000000000001,0.253,0.933424065132669,0.846728070154519
H251N,20,k_1,4.64158883361278,78.6874630195874,1,6211.06349639273,0.253,0.0840000000000001,0.252,0.933394323216678,0.846726224742044
H251N,20,k_1,10,169.527,1,6221.20824467179,0.253,0.0840000000000001,0.252,0.933380712742185,0.846730507614581
H251N,20,k_3,0.1,1.56713,1,968.677937676229,0.166,0.0960000000000001,0.22,0.954157381900914,0.940638776417583
H251N,20,k_3,0.215443469003188,3.37627923578967,1,1966.66845128493,0.188,0.0830000000000001,0.22,0.952106249592484,0.924422839169584
H251N,20,k_3,0.464158883361278,7.27397310881959,1,3684.3985582705,0.2145,0.0740000000000001,0.223,0.947171395266472,0.894757460787229
H251N,20,k_3,1,15.6713,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_3,2.15443469003188,33.7627923578967,0,9603.33263301073,0.511499999999995,NaN,NaN,0.886972467890549,0.774214362107175
H251N,20,k_3,4.64158883361278,72.7397310881959,0,16095.5323378127,0.670499999999984,NaN,NaN,0.726044056382648,0.56803724074619
H251N,20,k_3,10,156.713,0,15721.6386342187,0.667999999999984,NaN,NaN,0.501602328203855,0.477324981204816
H251N,20,k_5_0,0.1,114.298,0,1643.57234471684,0.425,NaN,NaN,0.924509570373119,0.889955954021093
H251N,20,k_5_0,0.215443469003188,246.247576201264,1,2834.27624418994,0.327,0.38599999999998,0.585999999999981,0.92709275648923,0.873866719665719
H251N,20,k_5_0,0.464158883361278,530.524320504273,1,4447.12478673881,0.281,0.15,0.328,0.930115030691353,0.858865618202286
H251N,20,k_5_0,1,1142.98,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_5_0,2.15443469003188,2462.47576201264,1,7636.86022760702,0.2365,0.0580000000000001,0.219,0.936691687511332,0.838545291780723
H251N,20,k_5_0,4.64158883361278,5305.24320504273,1,8795.73607334486,0.2235,0.043,0.2,0.939155929878143,0.832488842687904
H251N,20,k_5_0,10,11429.8,1,9572.94479325033,0.215,0.036,0.189,0.940790430873622,0.828398700631725
H251N,20,k_4_0,0.1,1.00338,1,6287.01378107215,0.2785,0.119,0.298,0.925761352560162,0.840770879047263
H251N,20,k_4_0,0.215443469003188,2.16171667928419,1,6268.04450162039,0.2735,0.111,0.288,0.926944217775119,0.8415421894556
H251N,20,k_4_0,0.464158883361278,4.65727740387039,1,6228.51463127553,0.266,0.0990000000000001,0.273,0.929299179919872,0.843442922303312
H251N,20,k_4_0,1,10.0338,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_4_0,2.15443469003188,21.6171667928419,1,5898.04290633637,0.2375,0.0730000000000001,0.232,0.939220450969121,0.854234300876901
H251N,20,k_4_0,4.64158883361278,46.5727740387039,1,5244.79707036515,0.216,0.0670000000000001,0.216,0.944610427903557,0.866781368249609
H251N,20,k_4_0,10,100.338,1,4009.4779941898,0.188,0.0730000000000001,0.208,0.948672572606658,0.88659622778033
H251N,20,k_7_1,0.1,0.0617297,1,6415.64647914265,0.252,0.0840000000000001,0.25,0.933492898217904,0.843014659098814
H251N,20,k_7_1,0.215443469003188,0.132992607085261,1,6380.47052310268,0.2525,0.0850000000000001,0.251,0.933502416055916,0.84345989667085
H251N,20,k_7_1,0.464158883361278,0.286523886222267,1,6304.31383457051,0.253,0.0850000000000001,0.251,0.933512719512078,0.844409048349855
H251N,20,k_7_1,1,0.617297,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_7_1,2.15443469003188,1.32992607085261,1,5798.73722243252,0.258,0.0850000000000001,0.255,0.933235528231994,0.852575983186764
H251N,20,k_7_1,4.64158883361278,2.86523886222267,1,5211.97135887734,0.269,0.0820000000000001,0.261,0.931966569017628,0.863012341979982
H251N,20,k_7_1,10,6.17297,1,4644.83670931185,0.3025,0.0860000000000001,0.29,0.928440333409767,0.875771011554467
H251N,20,k_7_2,0.1,0.189224,1,2380.62135177365,0.2415,0.125,0.286,0.943402662572129,0.892577313682637
H251N,20,k_7_2,0.215443469003188,0.407670749786593,1,2594.80389623199,0.24,0.123,0.285,0.943020546001815,0.889355039557685
H251N,20,k_7_2,0.464158883361278,0.878300005451545,1,4034.88358738438,0.237,0.107,0.268,0.940370597300251,0.869452657509996
H251N,20,k_7_2,1,1.89224,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_7_2,2.15443469003188,4.07670749786593,1,6407.62865032974,0.2595,0.0930000000000001,0.263,0.932246692291507,0.843765892589272
H251N,20,k_7_2,4.64158883361278,8.78300005451544,1,6427.70800234312,0.2605,0.0960000000000001,0.266,0.932155211371597,0.843315263143173
H251N,20,k_7_2,10,18.9224,1,6430.02649360651,0.2605,0.0970000000000001,0.267,0.932137866479266,0.843230493723461
H251N,20,k_7_3,0.1,0.490732,1,2341.29964886807,0.242,0.126,0.286,0.943484850398841,0.893132868125883
H251N,20,k_7_3,0.215443469003188,1.05725004430873,1,2449.9752098393,0.241,0.125,0.285,0.943307161089653,0.891357585869606
H251N,20,k_7_3,0.464158883361278,2.27777617149647,1,3408.75660187718,0.2365,0.113,0.272,0.941604191996112,0.877690044794035
H251N,20,k_7_3,1,4.90732,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_7_3,2.15443469003188,10.5725004430873,1,6388.07732014663,0.261,0.119,0.288,0.932117397990815,0.843508944545396
H251N,20,k_7_3,4.64158883361278,22.7777617149647,1,6384.42146293774,0.261,0.123,0.293,0.932117347793863,0.843946006257968
H251N,20,k_7_3,10,49.0732,1,6384.4214629364,0.261,0.123,0.293,0.932117347793865,0.843946006257978
H251N,20,k_force,0.1,1.5e-05,1,4432.57244927864,0.222,0.0750000000000001,0.23,0.944991945285135,0.904537138761188
H251N,20,k_force,0.215443469003188,3.23165203504783e-05,1,4650.86036593102,0.226,0.0760000000000001,0.232,0.943737934265133,0.897808382790145
H251N,20,k_force,0.464158883361278,6.96238325041917e-05,1,5125.49941309081,0.235,0.0770000000000001,0.237,0.940834570750071,0.883110384294212
H251N,20,k_force,1,0.00015,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_force,2.15443469003188,0.000323165203504783,1,8140.68834579028,0.3085,0.156,0.354,0.91080374047552,0.761647496053946
H251N,20,k_force,4.64158883361278,0.000696238325041917,0,13163.4311941628,0.644499999999987,NaN,NaN,0.81586530697124,0.533459633977718
H251N,20,k_force,10,0.0015,0,15789.6580309921,0.663999999999984,NaN,NaN,0.521152725029096,0.287090778354675
H251N,20,k_on,0.1,3631560,1,134.22626808684,0.0845,0.0820000000000001,0.129,0.95521195635192,0.953319071616943
H251N,20,k_on,0.215443469003188,7823958.84293219,1,463.33908140136,0.0920000000000001,0.0770000000000001,0.126,0.954362819976979,0.947644798139866
H251N,20,k_on,0.464158883361278,16856208.3445948,1,3669.53092920262,0.142,0.05,0.125,0.951767982226242,0.893709724912977
H251N,20,k_on,1,36315600,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_on,2.15443469003188,78239588.4293219,0,5192.87199517913,0.672499999999983,NaN,NaN,0.785554753426168,0.743036084849817
H251N,20,k_on,4.64158883361278,168562083.445948,0,5232.90636353764,0.674499999999983,NaN,NaN,0.776827862572275,0.735075093496572
H251N,20,k_on,10,363156000,0,5249.53296386435,0.674499999999983,NaN,NaN,0.774862281041958,0.733186300730304
H251N,20,k_off,0.1,1.00414,0,5397.11976227875,0.674499999999983,NaN,NaN,0.776623741323842,0.733618449030255
H251N,20,k_off,0.215443469003188,2.16335404964862,0,5382.66240164195,0.673999999999983,NaN,NaN,0.778614877284127,0.735511205087634
H251N,20,k_off,0.464158883361278,4.66080501138394,0,5362.66829406394,0.672499999999983,NaN,NaN,0.787608753356901,0.743528685964895
H251N,20,k_off,1,10.0414,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_off,2.15443469003188,21.6335404964862,1,3783.98729410435,0.1265,0.048,0.118,0.951767898603174,0.890330748973821
H251N,20,k_off,4.64158883361278,46.6080501138393,1,478.350515069659,0.083,0.0770000000000001,0.124,0.954362814816385,0.947397695599916
H251N,20,k_off,10,100.414,1,135.983087482588,0.0780000000000001,0.0810000000000001,0.127,0.955211955370352,0.953292916882059
H251N,20,k_coop,0.1,1.91969,0,3499.45906049889,0.316,NaN,NaN,0.885331269643515,0.84490549231428
H251N,20,k_coop,0.215443469003188,4.13584673010731,1,4178.94740073843,0.291,0.300999999999993,0.491999999999993,0.897312304461206,0.845007151180347
H251N,20,k_coop,0.464158883361278,8.91041166799812,1,5131.94600963059,0.2715,0.135,0.314,0.915424173137928,0.846589660922596
H251N,20,k_coop,1,19.1969,1,6140.18278231549,0.2545,0.0850000000000001,0.253,0.933488621679845,0.847174842394809
H251N,20,k_coop,2.15443469003188,41.3584673010731,1,6868.1050141588,0.2395,0.0610000000000001,0.22,0.945054815415041,0.845077366598133
H251N,20,k_coop,4.64158883361278,89.1041166799811,1,7264.39121997237,0.2295,0.049,0.201,0.950819460551233,0.841480500014732
H251N,20,k_coop,10,191.969,1,7452.77394961637,0.2225,0.043,0.191,0.953508652897987,0.83821173738636
