genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
Control,10,k_force,0.215443469003188,3.23165203504783e-05,1,3365.26484022909,0.2485,0.113,0.265,0.90290355731608,0.836861226170007
Control,10,k_force,0.464158883361278,6.96238325041917e-05,1,3538.83521747839,0.2575,0.124,0.28,0.898608596754266,0.821585070764961
Control,10,k_force,1,0.00015,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_force,2.15443469003188,0.000323165203504783,1,4646.97956990347,0.3385,0.381999999999979,0.587999999999979,0.853067430412276,0.711165864850581
Control,10,k_force,4.64158883361278,0.000696238325041917,0,7944.38245898462,0.756999999999974,NaN,NaN,0.711372894371527,0.467072047773784
Control,10,k_force,10,0.0015,0,9014.96953039729,0.763499999999973,NaN,NaN,0.41321103354663,0.268848874427348
Control,10,k_on,0.1,4186770,1,127.029227011393,0.0805,0.0700000000000001,0.114,0.92067875819831,0.918191772000139
Control,10,k_on,0.215443469003188,9020122.52718479,1,429.209044642813,0.094,0.0660000000000001,0.116,0.919415587472306,0.909409764470054
Control,10,k_on,0.464158883361278,19433264.880905,1,2413.30600067032,0.1555,0.0650000000000001,0.148,0.915566531810554,0.840664615635195
Control,10,k_on,1,41867700,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_on,2.15443469003188,90201225.2718479,0,4039.97135170667,0.758999999999974,NaN,NaN,0.708333219721396,0.668758037931378
Control,10,k_on,4.64158883361278,194332648.80905,0,4162.17900146247,0.761499999999974,NaN,NaN,0.700412337816819,0.660734070378943
Control,10,k_on,10,418677000,0,4192.19409888208,0.761499999999974,NaN,NaN,0.698559403967259,0.658798968455028
Control,10,k_off,0.1,1.22886,0,4267.98049953692,0.761499999999974,NaN,NaN,0.699618813712531,0.65898754557371
Control,10,k_off,0.215443469003188,2.64749861319258,0,4235.75819999316,0.760999999999974,NaN,NaN,0.701431137888647,0.660912429827026
