id,condition,genotype,scale_mode,scale_factor,peak_force,time_to_peak,relax_half_time,fwhm,end_time,n_points
ctrl_before,Control Before,Control,peak,18237653551.1421,4367.659785,0.065,0.322,0.387,1.18499999999998,1186
ctrl_acute,Control Mava acute,Control,peak,18237653551.1421,1244.78417294406,0.225,0.0600000000000001,0.515999999999995,1.28199999999997,1283
ctrl_24h,Control Mava 24 h,Control,peak,18237653551.1421,2083.1695952072,0.033,0.249,0.386,1.08899999999999,1090
hcm_before,H251N Before,H251N,peak,19754269230.92,9055.369696,0.225,0.174,0.403,1.15299999999998,1154
hcm_acute,H251N Mava acute,H251N,peak,19754269230.92,2978.44136117775,0.161,0.134,0.38,1.18499999999998,1186
hcm_24h,H251N Mava 24 h,H251N,peak,19754269230.92,4826.62898960451,0.257,0.16,0.466,1.15299999999998,1154
