restart,error,k_1,k_3,k_on,k_off,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
1,0.003811,19.4729,83.3028,1.53232e+07,9.99996,1027.5,19.7014,0.23429,7.70151,1.02125,4.25517
2,0.003637,22.5118,32.4388,5.84909e+07,25.6134,722.134,14.4362,0.125094,10.6604,3.95431,9.99999
3,0.054667,0.775068,95.733,9.99988e+06,12.5018,2405.28,2.86605,0.117388,26.2594,5.48248,5.34131
4,0.016908,3.58515,135.449,1.99624e+07,9.99998,921.825,10.2725,0.329651,91.3473,2.02605,3.07829
