restart,error,k_1,k_3,k_on,k_off,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
9,0.047437,13.2516,12.471,4.84052e+07,14.6958,433.67,19.9527,0.099997,6.34407,3.86282,4.60859
10,0.148102,10.1526,199.526,6.34661e+07,13.2489,2405.27,8.66278,0.406729,5.91324,2.12802,4.05906
11,0.053250,1.40468,12.538,3.18759e+07,10.1696,773.357,11.2666,0.0999927,5.19027,10.0004,5.5642
