genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.14529985566515,-0.637788018433178,-0.766129032258039,1.01483929858187
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.160671762221485,-0.637788018433178,-0.766129032258039,1.01954266570092
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,0.706871365403744,-0.637788018433178,-0.766129032258039,1.49339437775331
Control,10,0.1,0.316227766016838,3.16227766016838,0.560576,5.60576,7.95050362486553,760.60999648966,2979.93923945284,0.188,0.0810000000000001,0.911565299367505,0.883613562612661,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.965125461146429,-0.653456221198155,-0.782258064516105,1.97039986827616
Control,10,0.1,0.316227766016838,3.16227766016838,0.560576,5.60576,7.95050362486553,760.60999648966,2979.93923945284,0.188,0.0810000000000001,0.911565299367505,0.883613562612661,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.991500846431598,-0.653456221198155,-0.782258064516105,2.02200664099763
Control,10,0.1,0.316227766016838,3.16227766016838,0.560576,5.60576,7.95050362486553,760.60999648966,2979.93923945284,0.188,0.0810000000000001,0.911565299367505,0.883613562612661,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,1.928679648797,-0.653456221198155,-0.782258064516105,4.75873790020677
Control,10,0.1,0.316227766016838,10,0.560576,5.60576,7.95050362486553,2405.26,4078.48363316005,0.1845,0.0760000000000001,0.91034059594715,0.878052480885723,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.68956223143108,-0.659907834101381,-0.79569892473116,3.92323566220506
Control,10,0.1,0.316227766016838,10,0.560576,5.60576,7.95050362486553,2405.26,4078.48363316005,0.1845,0.0760000000000001,0.91034059594715,0.878052480885723,p95,1496.32838208045,0.542499999999998,0.371999999999959,1.7256608121604,-0.659907834101381,-0.79569892473116,4.04652036695278
Control,10,0.1,0.316227766016838,10,0.560576,5.60576,7.95050362486553,2405.26,4078.48363316005,0.1845,0.0760000000000001,0.91034059594715,0.878052480885723,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,3.00832736998379,-0.659907834101381,-0.79569892473116,10.1186486933203
Control,10,0.1,1,0.1,0.560576,5.60576,25.1417,24.0526,373.153489357785,0.2805,0.209,0.902271357996317,0.86572818465278,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.753923364226964,-0.482949308755758,-0.43817204301069,0.993635213231129
Control,10,0.1,1,0.1,0.560576,5.60576,25.1417,24.0526,373.153489357785,0.2805,0.209,0.902271357996317,0.86572818465278,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.750620589820689,-0.482949308755758,-0.43817204301069,0.988666043966586
Control,10,0.1,1,0.1,0.560576,5.60576,25.1417,24.0526,373.153489357785,0.2805,0.209,0.902271357996317,0.86572818465278,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.633265331154741,-0.482949308755758,-0.43817204301069,0.82625975374635
Control,10,0.1,1,0.316227766016838,0.560576,5.60576,25.1417,76.060999648966,1092.29447190908,0.269,0.195,0.899141303363275,0.858596215259338,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.279684750145388,-0.504147465437786,-0.475806451612845,0.558780005767638
Control,10,0.1,1,0.316227766016838,0.560576,5.60576,25.1417,76.060999648966,1092.29447190908,0.269,0.195,0.899141303363275,0.858596215259338,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.270016872639687,-0.504147465437786,-0.475806451612845,0.553465557813867
Control,10,0.1,1,0.316227766016838,0.560576,5.60576,25.1417,76.060999648966,1092.29447190908,0.269,0.195,0.899141303363275,0.858596215259338,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,0.0735053077662685,-0.504147465437786,-0.475806451612845,0.485959476573564
Control,10,0.1,1,1,0.560576,5.60576,25.1417,240.526,2716.46959720295,0.2515,0.178,0.893896204688576,0.846146740463983,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.791380005074827,-0.536405529953915,-0.521505376344033,1.1859810625531
Control,10,0.1,1,1,0.560576,5.60576,25.1417,240.526,2716.46959720295,0.2515,0.178,0.893896204688576,0.846146740463983,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.815423425589277,-0.536405529953915,-0.521505376344033,1.22461411312062
Control,10,0.1,1,1,0.560576,5.60576,25.1417,240.526,2716.46959720295,0.2515,0.178,0.893896204688576,0.846146740463983,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,1.6697420942599,-0.536405529953915,-0.521505376344033,3.3477374114643
Control,10,0.1,1,3.16227766016838,0.560576,5.60576,25.1417,760.60999648966,4965.60469974993,0.2405,0.155,0.888095131156749,0.831061956491578,peak,1516.4116990853,0.542499999999998,0.371999999999959,2.27457556727186,-0.556682027649768,-0.583333333333287,5.82386666891609
Control,10,0.1,1,3.16227766016838,0.560576,5.60576,25.1417,760.60999648966,4965.60469974993,0.2405,0.155,0.888095131156749,0.831061956491578,p95,1496.32838208045,0.542499999999998,0.371999999999959,2.31852603961565,-0.556682027649768,-0.583333333333287,6.02573565406183
