genotype,scale_mode,peak,time_to_peak,relax_half_time,fwhm
Control,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.607999999999956
H251N,peak,2994.60909783253,0.333,0.136,0.385
Control,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.607999999999956
H251N,p95,3041.80273612007,0.333,0.136,0.385
Control,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,0.607999999999956
H251N,least_squares,3325.87523837113,0.333,0.136,0.385
