restart,error,k_1,k_3,k_on,k_off,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
6,0.038238,1.3026,6.52351,1.42375e+08,55.8271,550.023,6.79007,0.0999989,0.999916,1.53757,9.99969
7,0.058068,0.37835,29.8898,9.99991e+06,13.1705,1131.27,0.0999994,0.140535,36.6006,1.44555,6.53234
8,0.030567,97.973,23.0295,1.00001e+07,15.7982,1687.8,0.750857,0.100016,1.26983,9.99621,8.14658
9,0.019192,6.21656,187.664,1.42171e+07,10.513,1580.99,0.17653,0.508346,210.201,1.35885,3.0764
10,0.024882,39.9938,14.6124,1.4568e+07,9.99998,2382.01,0.707504,0.714832,0.999993,2.58488,3.04717
