hs_length,peak_force,pct_shortening,relax_half_time,srx_baseline,srx_at_peak,drx_baseline,drx_at_peak
800,4302.24648174355,5.37765239370798,0.135,0.807612818618287,0.663438061825865,0.0893347484858438,0.11567456402897
850,4576.73617996302,5.38423432742805,0.142,0.80567851162594,0.656381199828999,0.0898566045594584,0.118009049660473
900,4837.14649518442,5.37444117724391,0.15,0.803750477192698,0.649979258683628,0.0903542507394595,0.120220200445763
950,5085.62925107243,5.35312356214256,0.159,0.801830808379233,0.643595379779527,0.0908272319880148,0.122151114789184
1000,5323.94645675662,5.32377216283435,0.168,0.799921319148003,0.637701959668023,0.0912753356786477,0.123973207319146
1050,5749.08822445872,5.01927389399682,0.169,0.793445046248271,0.62880196282794,0.0955724165717187,0.126948975812265
1100,6975.07942051561,4.445897651149,0.166,0.775196092620324,0.607464532104037,0.110180896863008,0.134557998681629
1150,9265.61765086251,3.7773565708058,0.161,0.741957732573666,0.572951719808555,0.136095026906859,0.146732137277794
1200,12385.3611894659,1.99706779144739,0.169,0.695644733468869,0.532361428204528,0.171054112569115,0.160806125070523
