k_7_1,mult_of_best,peak,net_peak,relax_half
0.0228082,0.1,5122.15908307682,4276.67396550992,0.171
0.0299046050714985,0.131113393742156,5119.37865667272,4274.79763767285,0.172
0.0392089425944307,0.171907220185857,5115.61812701853,4272.21693860351,0.172
0.0514081752859721,0.225393390473479,5110.48065258097,4268.61680608518,0.172
0.0674030032783545,0.295520923520289,5103.39856182304,4263.53390275752,0.172
0.0883743650823875,0.387467512045613,5093.58077146885,4256.30897824715,0.173
0.115870629257602,0.508021804691302,5079.82416770324,4245.90326581624,0.173
0.151921914370033,0.666084629080916,5060.36775027071,4230.75674353819,0.174
0.199189977768604,0.873326162382843,5032.771385094,4208.66824328669,0.174
0.261164739846663,1.14504756993828,4993.75591335997,4176.6308977491,0.175
0.342421953670834,1.50131072890817,4939.31952477268,4130.9326144579,0.177
0.448961044376025,1.96841944728661,4865.37653127544,4067.76015268828,0.179
0.588648061861635,2.58086154041807,4768.64755699983,3984.02624005047,0.182
0.771796451104219,3.38385515342823,4647.61952707651,3878.22841588262,0.188
1.01192851982426,4.43668733097861,4503.50022541407,3751.25960729247,0.197
1.32677382458636,5.81709132937436,4341.97831748929,3607.99265240062,0.216
1.73957818869779,7.62698585902344,4174.37127546774,3458.27109474087,0.258
2.28082,10,4017.95562710258,3317.22453099228,0.373999999999987
