param,best,x_value,peak_force
k_on,24741000,2474100,297.567717564565
k_on,24741000,5330286.86660788,542.721779725777
k_on,24741000,11483754.9332414,1627.99013024106
k_on,24741000,24741000,4855.53365436108
k_on,24741000,53302868.6660788,15720.4961024924
k_on,24741000,114837549.332414,16852.5646438407
k_on,24741000,247410000,17027.4151973626
k_off,10,1,16911.6230776398
k_off,10,2.15443469003188,16724.5204062133
k_off,10,4.64158883361278,15505.6403125895
k_off,10,10,4855.53365436108
k_off,10,21.5443469003188,1708.38598586131
k_off,10,46.4158883361278,549.071178994529
k_off,10,100,299.031650880331
cb_number_density,6.9e+16,6.9e+15,936.03894424117
cb_number_density,6.9e+16,1.486559936122e+16,1737.42536456114
cb_number_density,6.9e+16,3.20269629519282e+16,2996.1415633926
cb_number_density,6.9e+16,6.9e+16,4855.53365436108
cb_number_density,6.9e+16,1.486559936122e+17,7665.59279398023
cb_number_density,6.9e+16,3.20269629519282e+17,14093.4418988734
cb_number_density,6.9e+16,6.9e+17,24391.8990976324
x_ps,5,0.5,1913.64550526272
x_ps,5,1.07721734501594,2515.089204609
x_ps,5,2.32079441680639,3650.48969616073
x_ps,5,5,4855.53365436108
x_ps,5,10.7721734501594,1464.10485866608
x_ps,5,23.2079441680639,194.418105574599
x_ps,5,50,-38.4047712970785
k_3,13.2976,1.32976,1188.26845069083
k_3,13.2976,2.8648810734168,1968.89053923148
k_3,13.2976,6.17219916738493,3113.47852857882
k_3,13.2976,13.2976,4855.53365436108
k_3,13.2976,28.648810734168,9428.60371718975
k_3,13.2976,61.7219916738493,21167.9529158568
k_3,13.2976,132.976,27334.6456689715
k_1,13.3005,1.33005,1101.98424357862
k_1,13.3005,2.86550585947691,1927.5378582877
k_1,13.3005,6.17354522814668,3126.64233937975
k_1,13.3005,13.3005,4855.53365436108
k_1,13.3005,28.6550585947691,7595.41075236552
k_1,13.3005,61.7354522814668,13763.4800773277
k_1,13.3005,133.005,17901.5028591654
k_2,133.005,13.3005,17804.9925973338
k_2,133.005,28.6550585947691,13683.5233310513
k_2,133.005,61.7354522814668,7569.46170971619
k_2,133.005,133.005,4855.53365436108
k_2,133.005,286.550585947691,3158.57260664057
k_2,133.005,617.354522814668,1977.33353476907
k_2,133.005,1330.05,1148.65602037436
k_cb,0.001,0.0001,1620.24407777547
k_cb,0.001,0.000215443469003188,2868.73753795575
k_cb,0.001,0.000464158883361278,4113.14211844316
k_cb,0.001,0.001,4855.53365436108
k_cb,0.001,0.00215443469003188,5484.73328440889
k_cb,0.001,0.00464158883361278,10459.2523862584
k_cb,0.001,0.01,22627.0808343631
compliance_factor,0.5,0.05,15316.2328547059
compliance_factor,0.5,0.107721734501594,11058.0876232528
compliance_factor,0.5,0.232079441680639,7459.1517970273
compliance_factor,0.5,0.5,4855.53365436108
compliance_factor,0.5,1.07721734501594,3123.97673764524
compliance_factor,0.5,2.32079441680639,1999.20361309933
compliance_factor,0.5,5,1311.27370142543
k_5_0,274.288,27.4288,1055.20778045607
k_5_0,274.288,59.0935582259465,1791.7534052531
k_5_0,274.288,127.313211799398,2992.35444557338
k_5_0,274.288,274.288,4855.53365436108
k_5_0,274.288,590.935582259465,7086.45127666925
k_5_0,274.288,1273.13211799398,9110.47236241779
k_5_0,274.288,2742.88,10691.5689921693
k_5_1,1,0.1,7445.78365130053
k_5_1,1,0.215443469003188,7119.69916083558
k_5_1,1,0.464158883361278,6357.09392860497
k_5_1,1,1,4855.53365436108
k_5_1,1,2.15443469003188,2741.05641141364
k_5_1,1,4.64158883361278,1408.67133274631
k_5_1,1,10,958.368237787542
passive_hsl_slack,1265,126.5,21921.6875280858
passive_hsl_slack,1265,272.535988289033,19836.3815098844
passive_hsl_slack,1265,587.160987452017,15282.1218141944
passive_hsl_slack,1265,1265,4855.53365436108
passive_hsl_slack,1265,2725.35988289033,NaN
passive_hsl_slack,1265,5871.60987452016,NaN
passive_hsl_slack,1265,12650,NaN
k_force,0.00015,1.5e-05,4176.59433604844
k_force,0.00015,3.23165203504783e-05,4264.02249208354
k_force,0.00015,6.96238325041917e-05,4451.9431761228
k_force,0.00015,0.00015,4855.53365436108
k_force,0.00015,0.000323165203504783,5731.43704875003
k_force,0.00015,0.000696238325041917,9114.60869890424
k_force,0.00015,0.0015,14603.3022528087
k_7_0,104,10.4,7157.49384668424
k_7_0,104,22.4061207763316,7276.82398273411
k_7_0,104,48.2725238695729,6311.78613325325
k_7_0,104,104,4855.53365436108
k_7_0,104,224.061207763316,3448.70358842963
k_7_0,104,482.725238695729,2713.25306634981
k_7_0,104,1040,2381.61559781528
temperature,288,28.8,4365.67727499173
temperature,288,62.0477190729183,2893.4230026843
temperature,288,133.677758408048,3401.2310126596
temperature,288,288,4855.53365436108
temperature,288,620.477190729183,6655.75087148033
temperature,288,1336.77758408048,8037.20465259107
temperature,288,2880,8500.53031920201
k_boltzmann,1.38e-23,1.38e-24,4365.67727499173
k_boltzmann,1.38e-23,2.973119872244e-24,2893.42300269079
k_boltzmann,1.38e-23,6.40539259038564e-24,3401.23101265952
k_boltzmann,1.38e-23,1.38e-23,4855.53365436108
k_boltzmann,1.38e-23,2.973119872244e-23,6655.75087140082
k_boltzmann,1.38e-23,6.40539259038563e-23,8037.20465259107
k_boltzmann,1.38e-23,1.38e-22,8500.53031920201
k_4_0,10,1,5845.31013046803
k_4_0,10,2.15443469003188,5527.6179053625
k_4_0,10,4.64158883361278,5278.39690843056
k_4_0,10,10,4855.53365436108
k_4_0,10,21.5443469003188,4267.03975796326
k_4_0,10,46.4158883361278,3591.94159830922
k_4_0,10,100,2727.82395709001
k_coop,18.2269,1.82269,7529.05078429476
k_coop,18.2269,3.92686656517421,6279.3571996932
k_coop,18.2269,8.46017755113768,5490.01382069776
k_coop,18.2269,18.2269,4855.53365436108
k_coop,18.2269,39.2686656517421,4452.07873847982
k_coop,18.2269,84.6017755113768,4230.56111195849
k_coop,18.2269,182.269,4113.08495264818
passive_k_linear,14,1.4,5209.55147495819
passive_k_linear,14,3.01620856604464,5160.47007912425
passive_k_linear,14,6.49822436705789,5058.55717362412
passive_k_linear,14,14,4855.53365436108
passive_k_linear,14,30.1620856604464,4480.46785605155
passive_k_linear,14,64.9822436705789,3870.55428611367
passive_k_linear,14,140,3042.27424378576
k_8,0.01,0.001,4697.64890803283
k_8,0.01,0.00215443469003188,4717.66984846689
k_8,0.01,0.00464158883361278,4761.04964907961
k_8,0.01,0.01,4855.53365436108
k_8,0.01,0.0215443469003188,5064.20927877163
k_8,0.01,0.0464158883361278,5538.06590407953
k_8,0.01,0.1,6678.55541376949
k_7_1,0.3248,0.03248,4892.3535423701
k_7_1,0.3248,0.0699760387322356,4890.36595223289
k_7_1,0.3248,0.150758805315743,4882.53421977829
k_7_1,0.3248,0.3248,4855.53365436108
k_7_1,0.3248,0.699760387322356,4826.28470788323
k_7_1,0.3248,1.50758805315743,5074.25606899303
k_7_1,0.3248,3.248,6614.29177555051
k_4_1,0.1,0.01,5269.51608754481
k_4_1,0.1,0.0215443469003188,5169.37615050101
k_4_1,0.1,0.0464158883361278,5035.23409869727
k_4_1,0.1,0.1,4855.53365436108
k_4_1,0.1,0.215443469003188,4627.99387361999
k_4_1,0.1,0.464158883361278,4362.14087238367
k_4_1,0.1,1,4071.93955500901
k_6_1,0.01,0.001,4921.29044559973
k_6_1,0.01,0.00215443469003188,4912.18733045812
k_6_1,0.01,0.00464158883361278,4893.27902993597
k_6_1,0.01,0.01,4855.53365436108
k_6_1,0.01,0.0215443469003188,4785.94268622907
k_6_1,0.01,0.0464158883361278,4674.33027367308
k_6_1,0.01,0.1,4529.79956140157
max_rate,5000,500,4854.98731786549
max_rate,5000,1077.21734501594,4855.53365436108
max_rate,5000,2320.79441680639,4855.53365436108
max_rate,5000,5000,4855.53365436108
max_rate,5000,10772.1734501594,4855.53365436108
max_rate,5000,23207.9441680639,4855.53365436108
max_rate,5000,50000,4855.53365436108
k_6_0,0.1,0.01,4855.57413124227
k_6_0,0.1,0.0215443469003188,4855.56893801258
k_6_0,0.1,0.0464158883361278,4855.55775077755
k_6_0,0.1,0.1,4855.53365436108
k_6_0,0.1,0.215443469003188,4855.48176688247
k_6_0,0.1,0.464158883361278,4855.37010236453
k_6_0,0.1,1,4855.13010089558
