name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold
passive_hsl_slack,1265,mult,-4.28277296400462,7.97191981583268,down,-1.89903846153846,1.44886363636364
k_off,10,mult,-1.01137250418606,56.554625665387,down,-3.60576923076901,1.87719298245609
k_on,24741000,mult,0.931783304493558,57.2219840805413,up,3.19711538461524,1.78698224852067
k_3,13.2976,mult,0.607443484894166,23.0037628728422,up,1.46634615384615,2.41584158415842
cb_number_density,6.9e+16,mult,0.603978367447292,26.0586370339607,up,0.889423076923077,1.81746031746032
k_5_0,274.288,mult,0.577996850974728,10.1321930999678,up,-1.03365384615385,3.58461538461538
compliance_factor,0.5,mult,-0.573167095971549,11.6804240320356,down,0.240384615384615,1.11458333333333
k_1,13.3005,mult,0.568962330825918,16.2447902168106,up,1.29807692307692,2.43877551020408
k_2,133.005,mult,-0.563889825402352,15.5007176051982,down,-1.37019230769231,2.51546391752577
k_5_1,1,mult,-0.521372832917598,7.76923040405598,down,1.99519230769231,2.41509433962264
k_boltzmann,1.38e-23,mult,0.464212873526655,1.94712750937782,up,0.0721153846153846,1.01449275362319
temperature,288,mult,0.464212873526655,1.94712750937782,up,0.0721153846153846,1.01449275362319
k_7_0,104,mult,-0.453822645731213,3.005310283175,down,-0.0240384615384615,1.17307692307692
k_force,0.00015,mult,0.1550103029547,3.49646172882214,up,0.576923076923077,1.55633802816901
k_cb,0.001,mult,0.140962481375885,13.9652297729297,up,0.793269230769231,1.93162393162393
k_coop,18.2269,mult,-0.140550486408321,1.83051185933984,down,-0.9375,2.40625
k_4_0,10,mult,-0.139706760316952,2.14284727402413,down,-0.913461538461538,3.48484848484848
passive_k_linear,14,mult,-0.074094456430229,1.71238720033191,down,-0.0961538461538461,1.58108108108108
k_4_1,0.1,mult,-0.0549152733741714,1.29410469294973,down,-0.576923076923077,2.58139534883721
k_8,0.01,mult,0.0365969679848672,1.42168040747987,up,0.0721153846153846,1.07692307692308
x_ps,5,mult,0.0363948333358618,2.53732138006118,down,1.63461538461538,24.8
k_6_1,0.01,mult,-0.0137810914239215,1.08642565281123,down,0.0240384615384615,1.07317073170732
k_7_1,0.3248,mult,-0.0109163946993377,1.36368892589671,up,0.0721153846153846,1.07692307692308
k_6_0,0.1,mult,-9.25995075063167e-06,1.00009145591106,down,0,1
max_rate,5000,mult,0,1.00011253098305,up,0,1
