restart,error,k_1,k_3,k_on,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
1,0.241281,0.573787,51.8394,1.16742e+07,196.889,3.31686,0.88893,5.19078,2.23288,3.00177
2,0.172133,3.60375,7.63256,3.42387e+07,726.889,1.99523,0.317949,5.19055,1.15569,6.93587
3,0.009926,100,31.6985,3.24314e+07,1168.65,14.8418,0.142139,7.36367,1.962,3.31771
4,0.024772,4.62234,199.482,1.97269e+07,535.516,10.9059,0.100005,141.207,9.99989,4.18455
5,0.055436,2.0905,134.337,1.4334e+07,1106.15,1.99525,0.0999986,122.748,2.29614,4.40651
