restart,error,k_1,k_3,k_on,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
6,0.105978,4.58077,9.83245,5.01187e+07,2405.52,4.9457,0.0999997,13.4493,4.48699,4.00738
7,0.076007,1.33738,80.6471,1.00013e+07,2405.27,4.27317,0.0999986,7.22688,4.71681,4.69819
8,0.165984,99.8277,148.612,1.00001e+07,163.047,6.0957,0.140089,25.9192,0.848632,9.99981
9,0.006803,5.87296,22.8716,3.20729e+07,857.091,14.9967,0.126939,5.81799,2.755,6.6982
10,0.073217,2.81709,77.7809,9.99979e+06,1205.28,2.5696,0.0999984,20.6554,0.993235,7.28572
