param,best,x_value,peak_force
x_ps,5,0.5,2496.49549258824
x_ps,5,1.07721734501594,3703.57212446683
x_ps,5,2.32079441680639,6340.47069585602
x_ps,5,5,11110.4655436109
x_ps,5,10.7721734501594,10074.9501084308
x_ps,5,23.2079441680639,25.841596894116
x_ps,5,50,6.88180151792979e-05
k_on,29590400,2959040,323.580006172048
k_on,29590400,6375058.42519195,882.896898158613
k_on,29590400,13734647.0222136,3906.12009608275
k_on,29590400,29590400,11110.4655436109
k_on,29590400,63750584.2519195,32109.8703840696
k_on,29590400,137346470.222136,32987.5226279803
k_on,29590400,295904000,33159.577836993
k_off,11.2191,1.12191,33101.1167423879
k_off,11.2191,2.41708182309367,32921.1120577318
k_off,11.2191,5.20744492831851,31976.7399491088
k_off,11.2191,11.2191,11110.4655436109
k_off,11.2191,24.1708182309367,4121.71931424242
k_off,11.2191,52.0744492831851,898.168669622788
k_off,11.2191,112.191,327.263644507495
cb_number_density,6.9e+16,6.9e+15,1880.2108143972
cb_number_density,6.9e+16,1.486559936122e+16,3694.14818272128
cb_number_density,6.9e+16,3.20269629519282e+16,6695.90608526801
cb_number_density,6.9e+16,6.9e+16,11110.4655436109
cb_number_density,6.9e+16,1.486559936122e+17,21209.7692756442
cb_number_density,6.9e+16,3.20269629519282e+17,37443.3300547876
cb_number_density,6.9e+16,6.9e+17,54598.8051949921
k_3,23.8925,2.38925,2385.37950005593
k_3,23.8925,5.14748308315868,4273.20529932917
k_3,23.8925,11.0899161207093,6977.37426650364
k_3,23.8925,23.8925,11110.4655436109
k_3,23.8925,51.4748308315868,27904.1025361016
k_3,23.8925,110.899161207093,41457.4081246118
k_3,23.8925,238.925,46430.5557928518
k_1,26.3718,2.63718,2478.9102343789
k_1,26.3718,5.68163207585828,4460.14753649094
k_1,26.3718,12.2407052402269,7237.33740841679
k_1,26.3718,26.3718,11110.4655436109
k_1,26.3718,56.8163207585828,21801.3944557376
k_1,26.3718,122.407052402269,30728.7744628
k_1,26.3718,263.718,34686.4615576708
k_2,263.718,26.3718,34486.9870876542
k_2,263.718,56.8163207585828,30517.2618849579
k_2,263.718,122.407052402269,21688.131930755
k_2,263.718,263.718,11110.4655436109
k_2,263.718,568.163207585828,7311.97807792391
k_2,263.718,1224.07052402269,4593.01647381369
k_2,263.718,2637.18,2599.96884468074
compliance_factor,0.5,0.05,33874.8275201607
compliance_factor,0.5,0.107721734501594,26346.693049944
compliance_factor,0.5,0.232079441680639,17733.0157686451
compliance_factor,0.5,0.5,11110.4655436109
compliance_factor,0.5,1.07721734501594,6749.37649852302
compliance_factor,0.5,2.32079441680639,4101.51753915606
compliance_factor,0.5,5,2684.72998883602
k_5_1,1,0.1,13965.7914296087
k_5_1,1,0.215443469003188,13552.3380521142
k_5_1,1,0.464158883361278,12695.4111817759
k_5_1,1,1,11110.4655436109
k_5_1,1,2.15443469003188,9223.61983036522
k_5_1,1,4.64158883361278,3696.87843509568
k_5_1,1,10,1572.02240208869
k_boltzmann,1.38e-23,1.38e-24,3669.47873900873
k_boltzmann,1.38e-23,2.973119872244e-24,5728.2862548693
k_boltzmann,1.38e-23,6.40539259038564e-24,8297.28845240058
k_boltzmann,1.38e-23,1.38e-23,11110.4655436109
k_boltzmann,1.38e-23,2.973119872244e-23,17204.6103490678
k_boltzmann,1.38e-23,6.40539259038563e-23,22301.6372339788
k_boltzmann,1.38e-23,1.38e-22,20910.1031026718
temperature,288,28.8,3669.47873900873
temperature,288,62.0477190729183,5728.28625497754
temperature,288,133.677758408048,8297.28845240059
temperature,288,288,11110.4655436109
temperature,288,620.477190729183,17204.6103494221
temperature,288,1336.77758408048,22301.6372339788
temperature,288,2880,20910.1031026718
k_cb,0.001,0.0001,2733.68650671582
k_cb,0.001,0.000215443469003188,5395.3252875605
k_cb,0.001,0.000464158883361278,8591.74743330132
k_cb,0.001,0.001,11110.4655436109
k_cb,0.001,0.00215443469003188,13237.718354134
k_cb,0.001,0.00464158883361278,14599.7270086117
k_cb,0.001,0.01,14287.7730382771
k_force,0.00015,1.5e-05,8564.14828025403
k_force,0.00015,3.23165203504783e-05,8907.00238600461
k_force,0.00015,6.96238325041917e-05,9624.43328116032
k_force,0.00015,0.00015,11110.4655436109
k_force,0.00015,0.000323165203504783,17633.0387158312
k_force,0.00015,0.000696238325041917,26987.5821112818
k_force,0.00015,0.0015,32780.5663880503
k_7_0,104,10.4,10112.9862799591
k_7_0,104,22.4061207763316,17514.7746380083
k_7_0,104,48.2725238695729,16211.3673095837
k_7_0,104,104,11110.4655436109
k_7_0,104,224.061207763316,8461.60424211841
k_7_0,104,482.725238695729,6128.37334380057
k_7_0,104,1040,4941.70695286985
k_5_0,848.072,84.8072,4465.96473240629
k_5_0,848.072,182.711573644472,6876.63030665242
k_5_0,848.072,393.640152529966,9047.23337973243
k_5_0,848.072,848.072,11110.4655436109
k_5_0,848.072,1827.11573644472,13023.9591981133
k_5_0,848.072,3936.40152529966,14377.9441885872
k_5_0,848.072,8480.72,15358.4347313745
passive_hsl_slack,1265,126.5,32061.1667530463
passive_hsl_slack,1265,272.535988289033,29666.6473685676
passive_hsl_slack,1265,587.160987452017,24187.6444248995
passive_hsl_slack,1265,1265,11110.4655436109
passive_hsl_slack,1265,2725.35988289033,NaN
passive_hsl_slack,1265,5871.60987452016,NaN
passive_hsl_slack,1265,12650,NaN
k_coop,19.943,1.9943,18754.7483387758
k_coop,19.943,4.29658910233059,16828.8401338679
k_coop,19.943,9.25672061087397,13605.6271488431
k_coop,19.943,19.943,11110.4655436109
k_coop,19.943,42.9658910233059,9904.95767866892
k_coop,19.943,92.5672061087396,9274.61680370079
k_coop,19.943,199.43,8956.97659482648
passive_k_linear,14,1.4,11951.2633355122
passive_k_linear,14,3.01620856604464,11834.071271451
passive_k_linear,14,6.49822436705789,11591.6312462245
passive_k_linear,14,14,11110.4655436109
passive_k_linear,14,30.1620856604464,10225.492070006
passive_k_linear,14,64.9822436705789,8785.88641862427
passive_k_linear,14,140,6807.24524160697
k_4_0,6.22625,0.622625,12631.8206694314
k_4_0,6.22625,1.3414048988811,12286.5787595149
k_4_0,6.22625,2.88996924752816,11530.4348483899
k_4_0,6.22625,6.22625,11110.4655436109
k_4_0,6.22625,13.414048988811,10386.7088399813
k_4_0,6.22625,28.8996924752816,9350.32489097193
k_4_0,6.22625,62.2625,8124.94496227239
k_12,1.8,0.18,11675.9206837203
k_12,1.8,0.387798244205739,11598.382525908
k_12,1.8,0.8354859900503,11436.6580630104
k_12,1.8,1.8,11110.4655436109
k_12,1.8,3.87798244205739,10492.7283033432
k_12,1.8,8.354859900503,9442.66163422687
k_12,1.8,18,7913.41703616758
k_11,18,1.8,8266.97933855681
k_11,18,3.87798244205739,9373.65196227595
k_11,18,8.354859900503,10405.8202223263
k_11,18,18,11110.4655436109
k_11,18,38.7798244205739,11505.7165414188
k_11,18,83.54859900503,11706.3414040436
k_11,18,180,11803.2788032013
k_13,100,10,8720.88824067621
k_13,100,21.5443469003188,9639.94171471567
k_13,100,46.4158883361278,10506.5072953012
k_13,100,100,11110.4655436109
k_13,100,215.443469003188,11453.2652329241
k_13,100,464.158883361278,11628.3826641828
k_13,100,1000,11713.444696024
k_4_1,0.1,0.01,12530.6336140957
k_4_1,0.1,0.0215443469003188,11984.7999274084
k_4_1,0.1,0.0464158883361278,11444.1480320339
k_4_1,0.1,0.1,11110.4655436109
k_4_1,0.1,0.215443469003188,10701.0962031387
k_4_1,0.1,0.464158883361278,10222.365611628
k_4_1,0.1,1,9705.58549754212
k_7_1,0.257382,0.0257382,10702.2612361821
k_7_1,0.257382,0.0554512709389786,10759.4901559225
k_7_1,0.257382,0.119466141717292,10880.529354655
k_7_1,0.257382,0.257382,11110.4655436109
k_7_1,0.257382,0.554512709389786,11305.7347954934
k_7_1,0.257382,1.19466141717292,10854.2960302641
k_7_1,0.257382,2.57382,10127.1540497046
k_6_1,0.01,0.001,11330.1416311653
k_6_1,0.01,0.00215443469003188,11296.7803797924
k_6_1,0.01,0.00464158883361278,11230.8203099422
