k_7_1,mult_of_best,peak,net_peak,relax_half
0.0257382,0.1,10702.2612361821,9133.39807492932,0.33899999999999
0.0337462275081437,0.131113393742156,10717.7110958926,9149.96831199094,0.340999999999989
0.0442458241458764,0.171907220185857,10737.9447744262,9171.66491844283,0.343999999999989
0.058012201626845,0.225393390473479,10764.4045489369,9200.03218196289,0.346999999999989
0.0760617663374989,0.295520923520289,10798.91859297,9237.02847576757,0.352999999999988
0.099727163185324,0.387467512045613,10843.7310321924,9285.06224342856,0.358999999999988
0.130755668135057,0.508021804691302,10901.2790011168,9346.77451180608,0.366999999999987
0.171438194002104,0.666084629080916,10973.7843116157,9424.63355991574,0.379999999999985
0.224778434326421,0.873326162382843,11061.7763314106,9519.45452827053,0.396999999999983
0.294714633645855,1.14504756993828,11160.5422977067,9626.83371140257,0.422999999999981
0.386410358027843,1.50131072890817,11253.6457545304,9730.62885281835,0.464999999999976
0.506635734181523,1.96841944728661,11305.7324269556,9795.69424128555,0.550999999999966
0.664267304995885,2.58086154041807,11271.2018438963,9776.44164684601,NaN
0.870943407099666,3.38385515342823,11130.9838060069,9653.46767919789,NaN
1.14192345862194,4.43668733097861,10900.232112205,9441.07989573989,NaN
1.49721460053703,5.81709132937436,10599.1650455614,9158.01621144314,NaN
1.96304887436717,7.62698585902344,10261.7901105052,8836.23337595814,NaN
2.57382,10,10127.1540497046,8712.57285994206,NaN
