genotype,ratio,n_starts,min_fit_error,median_fit_error,max_fit_error,boundary_runs,best_run_id,best_metric_score,k_1_spread,k_3_spread,k_5_0_spread,k_4_0_spread,k_7_3_spread
Control,10,4,0.03527982135,0.176428132865,0.3155883099,3,ctrl_acute_r10_s03,NaN,50.3503839762878,9.49957442746573,1.45834194748811,50.6670116277935,6.6438834473997
Control,20,2,0.03380076693,0.06094515096,0.08808953499,1,ctrl_acute_r20_s01,NaN,2.22382486337484,10.385097603555,1.00658876181004,6.54817543278326,8.5056489302895
H251N,10,2,0.004207244641,0.0043897943775,0.004572344114,0,hcm_acute_r10_s02,0.279148862232858,1.1489785227868,1.22327243073219,1.08506093730368,1.58927698959226,1.81874328135768
H251N,20,2,0.00154732137,0.002329081215,0.00311084106,1,hcm_acute_r20_s01,0.14565264449487,3.16329704510109,3.87641583224366,1.74103914076837,4.51949101082171,8.64028236071945
