group_id,alignment_policy,genotype,stage,parameter,completed_starts,converged_starts,best_error,median_error,worst_error,near_optimal_starts,solution_clusters,log10_spread_all,log10_spread_near_optimal,near_optimal_fold_spread,boundary_frequency,classification
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_7_3,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,1.19844070877977,0,1,0.125,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_1,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,0,0,1,1,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_2,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,1.08782784923683,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_3,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,0.898460616044923,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k50,k_1,4,4,0.01106720942,0.01174454895,0.01201267474,1,1,1.35513484633333,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k50,k_2,4,4,0.01106720942,0.01174454895,0.01201267474,1,1,0.870691713049396,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k50,k_3,4,4,0.01106720942,0.01174454895,0.01201267474,1,1,0.963821972048191,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k50,k_5_0,4,4,0.01106720942,0.01174454895,0.01201267474,1,1,0.1758553652,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k40,k_1,4,4,0.01021487806,0.01142197055,0.01215719327,1,1,1.17246341282413,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k40,k_2,4,4,0.01021487806,0.01142197055,0.01215719327,1,1,1.50803757715379,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k40,k_3,4,4,0.01021487806,0.01142197055,0.01215719327,1,1,0.878971118643949,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k40,k_5_0,4,4,0.01021487806,0.01142197055,0.01215719327,1,1,0.3338724654,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k40,k_4_0,4,4,0.01021487806,0.01142197055,0.01215719327,1,1,1.32896016623174,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_1,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,0.984122313652382,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_2,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,1.67077339834938,0,1,0.125,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_3,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,1.78690045304934,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_5_0,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,0.374415557,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_4_0,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,1.79886047093017,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k73,k_7_3,8,8,0.01019134585,0.01151566934,0.01353749085,1,1,1.41737633622678,0,1,0.25,non-identifiable
