id,group_id,alignment_policy,genotype,stage,restart,name,p_raw,p_simulated,normalized_distance,physical_distance,log_distance,fold_distance,lower_bound,upper_bound,physical_value,classification
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_2,0.3330252833,0.3330252833,0.3330252833,20.3769871370456,0.666050566500092,4.63500883703237,5.6057599996597,560.575999578738,25.9827471367053,interior
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_3,0.8381318227,0.8381318227,0.1618681773,116.790731190983,0.323736354616187,2.1073484620899,2.51416999986428,251.417000044319,119.304901190847,interior
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_5_0,0.07380234596,0.07380234596,0.07380234596,9.73572951133256,0.14760469192,1.40476827909229,24.0526000040455,2405.26000040455,33.788329515378,interior
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,k_1,0.1084204352,0.1084204352,0.1084204352,0.36300580959675,0.216840870367474,1.64755859975951,0.56057599996597,56.0575999578738,0.92358180956272,interior
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,k_2,0.476437422,0.476437422,0.476437422,44.6874486681772,0.952874843857069,8.97170208337318,5.6057599996597,560.575999578738,50.2932086678369,interior
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,k_3,0.999998795,0.999998795,1.20500000000412e-06,0.00139516690700248,2.41000000048896e-06,1.00000554924547,2.51416999986428,251.417000044319,251.415604877412,near_upper
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,k_5_0,0.09057227688,0.09057227688,0.09057227688,12.4485529601479,0.18114455376,1.51755539767236,24.0526000040455,2405.26000040455,36.5011529641933,interior
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,k_1,0.06833682858,0.06833682858,0.06833682858,0.207330170655813,0.136673657139499,1.36985202839294,0.56057599996597,56.0575999578738,0.767906170621782,interior
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,k_2,0.5508773511,0.5508773511,0.4491226489,65.2522909587726,0.898245297665263,7.91125344257056,5.6057599996597,560.575999578738,70.8580509584323,interior
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,k_3,0.9999903044,0.9999903044,9.69559999997038e-06,0.0112254902973348,1.93912000007801e-05,1.00004465088488,2.51416999986428,251.417000044319,251.405774554021,near_upper
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,k_5_0,0.1151468533,0.1151468533,0.1151468533,16.8222089300925,0.2302937066,1.69939253665979,24.0526000040455,2405.26000040455,40.874808934138,interior
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,k_4_0,0.4019908949,0.4019908949,0.4019908949,27.8627032693313,0.803981789679403,6.36768820113968,5.19082000020333,519.081999661764,33.0535232695346,interior
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,k_1,0.008872207955,0.008872207955,0.008872207955,0.0233783745994114,0.0177444159073384,1.04170420175111,0.56057599996597,56.0575999578738,0.583954374565381,near_lower
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,k_2,0.4962237648,0.4962237648,0.4962237648,49.4854143057952,0.992447529451133,9.82760130808298,5.6057599996597,560.575999578738,55.0911743054549,interior
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,k_3,0.9999120119,0.9999120119,8.79880999999916e-05,0.10185357544438,0.000175976200008836,1.00040528227954,2.51416999986428,251.417000044319,251.315146468874,near_upper
