run,error,aic,n_points,k_1,k_2,k_3,k_5_0,peak_model,peak_target,peak_err_pct,tpeak_model,tpeak_target,tpeak_err_ms,thalf_model,thalf_target,thalf_err_ms,srx_rest,srx_peak,bounds_hit,p_values
ctrl_acute_r10,0.03472704824,-4305.183311,1283,25.9449,259.449,22.1517,32.1461,597.477400543023,859.637698297624,-30.4966031938534,0.2695,0.2235,46,0.135,0.043,92.0000000000001,0.904002115750806,0.86214578646622,none,0.833 0.473 0.063
ctrl_acute_r10_wide,0.03323837279,-4361.396488,1283,0.729411,7.29411,17.1674,44.8101,641.90573507788,859.637698297624,-25.3283404916894,0.2515,0.2235,28,0.137,0.043,94.0000000000001,0.907767260554418,0.870904018529543,none,0.279 0.459 0.318
ctrl_acute_r20,0.03280034229,-4378.416849,1283,0.560576,11.2115,31.0448,48.9541,640.741659273565,859.637698297624,-25.4637551910005,0.2545,0.2235,31,0.146,0.043,103,0.947348642274526,0.91148395844373,k_1 low,0.000 0.546 0.154
ctrl_acute_r20_wide,0.0326410151,-4384.664188,1283,0.40031,8.0062,28.3882,56.2645,662.277908871146,859.637698297624,-22.9584846985326,0.2425,0.2235,19.0000000000001,0.134,0.043,91.0000000000001,0.948507636100826,0.920174485003418,none,0.213 0.513 0.342
hcm_acute_r10,0.1066381803,-1997.290732,895,5.87963,58.7963,2.72376,11429.8,3364.16722134167,753.863378721928,346.256883713486,0.1675,0.148,19.5,0.0600000000000001,0.0580000000000001,2,0.909500731631162,0.855278503885045,k_5_0 high,0.270 0.120 1.000
hcm_acute_r10_wide,0.09366430449,-2113.394115,895,0.400248,4.00248,4.42158,86183,3393.98549586556,753.863378721928,350.212278731406,0.1585,0.148,10.5000000000001,0.0680000000000001,0.0580000000000001,10,0.909828132193878,0.892001265892661,none,0.093 0.363 0.969
hcm_acute_r20,0.1034781906,-2024.212994,895,1.69527,33.9054,5.58283,11429.5,3386.5062111577,753.863378721928,349.220151388578,0.1765,0.148,28.5,0.0590000000000001,0.0580000000000001,1,0.951435982425352,0.913176285332503,k_1 low; k_5_0 high,-0.000 0.276 1.000
hcm_acute_r20_wide,0.08494160572,-2200.883169,895,0.169527,3.39054,13.5145,3750.02,3363.35606920205,753.863378721928,346.14928435762,0.196,0.148,47.9999999999999,0.0700000000000001,0.0580000000000001,12,0.948836047623366,0.936607364188824,k_1 low,-0.000 0.484 0.629
