run_id,genotype,ratio,best_error,aic,k_1,k_2,k_3,k_5_0,k_1_fold,k_3_fold,k_5_0_fold,model_peak,model_time_to_peak,model_relax_half_time,srx_rest_total,srx_peak_total,boundary_parameters
ctrl_acute_r10,Control,10,0.03472704824,-4305.183311,25.9449,259.449,22.1517,32.1461,4.62825736385432,0.881074072159003,0.133649168904817,597.477400543023,0.271,0.135,0.904002115750806,0.86214578646622,none
ctrl_acute_r20,Control,20,0.03280034229,-4378.416849,0.560576,11.2115,31.0448,48.9541,0.1,1.23479319218669,0.203529348178575,640.741659273565,0.255,0.146,0.947348642274526,0.91148395844373,k_1 low
hcm_acute_r10,H251N,10,0.1066381803,-1997.290732,5.87963,58.7963,2.72376,11429.8,0.34682557940623,0.173805619189218,10,3364.16722134167,0.173,0.0600000000000001,0.909500731631162,0.855278503885045,k_5_0 high
hcm_acute_r20,H251N,20,0.1034781906,-2024.212994,1.69527,33.9054,5.58283,11429.5,0.1,0.356245493354093,9.99973752821572,3386.5062111577,0.181,0.0590000000000001,0.951435982425352,0.913176285332503,k_1 low; k_5_0 high
