genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,10,3.16227766016838,0.1,3.16227766016838,17.7269696162655,177.269696162655,2.51417,760.60999648966,1581.84910123531,0.151,0.0860000000000001,0.918779520989401,0.888792752328789
Control,10,3.16227766016838,0.1,10,17.7269696162655,177.269696162655,2.51417,2405.26,2198.9369087299,0.1475,0.0840000000000001,0.91830356884458,0.881345438272696
Control,10,3.16227766016838,0.316227766016838,0.1,17.7269696162655,177.269696162655,7.95050362486553,24.0526,310.493296387097,0.2185,0.0890000000000001,0.916623257614905,0.889974154607837
Control,10,3.16227766016838,0.316227766016838,0.316227766016838,17.7269696162655,177.269696162655,7.95050362486553,76.060999648966,907.658362518219,0.212,0.0860000000000001,0.915556645436915,0.879141552161658
Control,10,3.16227766016838,0.316227766016838,1,17.7269696162655,177.269696162655,7.95050362486553,240.526,2275.05302215206,0.203,0.0810000000000001,0.913817412809862,0.857477009812653
Control,10,3.16227766016838,0.316227766016838,3.16227766016838,17.7269696162655,177.269696162655,7.95050362486553,760.60999648966,4270.6101518359,0.1965,0.0720000000000001,0.911841618710491,0.830735741770646
Control,10,3.16227766016838,0.316227766016838,10,17.7269696162655,177.269696162655,7.95050362486553,2405.26,6163.49612183104,0.1945,0.0630000000000001,0.910145538314567,0.808703794144646
Control,10,3.16227766016838,1,0.1,17.7269696162655,177.269696162655,25.1417,24.0526,464.287426455637,0.281,0.15,0.901627946265636,0.860277646633811
Control,10,3.16227766016838,1,0.316227766016838,17.7269696162655,177.269696162655,25.1417,76.060999648966,1443.43588816205,0.2775,0.15,0.896490223829998,0.837667029305457
Control,10,3.16227766016838,1,1,17.7269696162655,177.269696162655,25.1417,240.526,4002.73607641941,0.273,0.148,0.887458316445896,0.790502623539145
Control,10,3.16227766016838,1,3.16227766016838,17.7269696162655,177.269696162655,25.1417,760.60999648966,7934.7533652913,0.269,0.128,0.876548783903533,0.737419189849641
Control,10,3.16227766016838,1,10,17.7269696162655,177.269696162655,25.1417,2405.26,11527.3379459213,0.265,0.0980000000000001,0.867143658966697,0.700258783019708
Control,10,3.16227766016838,3.16227766016838,0.1,17.7269696162655,177.269696162655,79.5050362486553,24.0526,1009.29209618526,0.758999999999974,NaN,0.778069606945415,0.744214988248341
Control,10,3.16227766016838,3.16227766016838,0.316227766016838,17.7269696162655,177.269696162655,79.5050362486553,76.060999648966,3351.07374880416,0.768499999999973,NaN,0.730138270012232,0.646697522558279
Control,10,3.16227766016838,3.16227766016838,1,17.7269696162655,177.269696162655,79.5050362486553,240.526,8363.77239513774,0.765999999999973,NaN,0.640910306802817,0.542687271128525
Control,10,3.16227766016838,3.16227766016838,3.16227766016838,17.7269696162655,177.269696162655,79.5050362486553,760.60999648966,12641.4394768401,0.753999999999974,NaN,0.569609982467453,0.502591730551263
Control,10,3.16227766016838,3.16227766016838,10,17.7269696162655,177.269696162655,79.5050362486553,2405.26,14009.6851234279,0.736999999999976,NaN,0.538933902888252,0.496912007164583
Control,10,3.16227766016838,10,0.1,17.7269696162655,177.269696162655,251.417,24.0526,1617.55827062627,0.777499999999972,NaN,0.511618665780614,0.482345299132947
Control,10,3.16227766016838,10,0.316227766016838,17.7269696162655,177.269696162655,251.417,76.060999648966,4829.73326584166,0.775999999999972,NaN,0.472590077099217,0.425020314059974
Control,10,3.16227766016838,10,1,17.7269696162655,177.269696162655,251.417,240.526,11033.9981139139,0.770999999999973,NaN,0.423623214264092,0.395554880818997
Control,10,3.16227766016838,10,3.16227766016838,17.7269696162655,177.269696162655,251.417,760.60999648966,14816.6947484329,0.756499999999974,NaN,0.41084937116964,0.417106301676054
Control,10,3.16227766016838,10,10,17.7269696162655,177.269696162655,251.417,2405.26,13633.9216525906,0.726999999999977,NaN,0.42073203863429,0.440682684553731
Control,10,10,0.1,0.1,56.0576,560.576,2.51417,24.0526,156.168192446944,0.178,0.0820000000000001,0.920144334201274,0.908214384864301
Control,10,10,0.1,0.316227766016838,56.0576,560.576,2.51417,76.060999648966,421.259782908698,0.17,0.0830000000000001,0.919836516886388,0.904223422086091
Control,10,10,0.1,1,56.0576,560.576,2.51417,240.526,929.228195140705,0.158,0.0860000000000001,0.919339234036662,0.897132416602904
