hs_length,peak_force,pct_shortening,relax_half_time,srx_baseline,srx_at_peak,drx_baseline,drx_at_peak
800,9384.52805014307,11.7303137805445,0.151,0.812025383106769,0.677366837439742,0.100561502218968,0.163808270387176
850,10123.5227704339,11.9096688835621,0.169,0.809097432097756,0.666901523699284,0.101904769270613,0.168675569671818
900,10834.2708145036,12.0377103934707,0.197,0.806210907105434,0.657154012286665,0.103193481152197,0.173193754586834
950,11518.6755148205,12.1245439532174,0.245999999999996,0.803365572743768,0.647743477422975,0.104429573321297,0.177320773379061
1000,12178.6370053627,12.1782508868294,0.370999999999981,0.800560918985255,0.639175548455972,0.105615064223245,0.181218561936635
1050,12895.0602255517,11.8576107282944,NaN,0.793803005841354,0.630343242369278,0.109912416956548,0.185352268918348
1100,14048.0846223854,11.0058780947713,NaN,0.775645024589452,0.616014919363646,0.12374049305081,0.191627405405441
1150,15935.2801909769,9.84690139108247,NaN,0.742716301544579,0.592916401686802,0.149022063343182,0.201047204245781
1200,18536.4783350275,7.59816854974144,NaN,0.698649789186844,0.562734869042796,0.182552703200196,0.212561443467719
