id,condition,genotype,scale_mode,scale_factor,peak_force,time_to_peak,relax_half_time,fwhm,end_time,n_points
ctrl_before,Control Before,Control,least_squares,12577307874.5596,3012.08714450209,0.065,0.322,0.387,1.18499999999998,1186
ctrl_acute,Control Mava acute,Control,least_squares,12577307874.5596,858.445618379239,0.225,0.0600000000000001,0.515999999999995,1.28199999999997,1283
ctrl_24h,Control Mava 24 h,Control,least_squares,12577307874.5596,1436.62479827083,0.033,0.249,0.386,1.08899999999999,1090
hcm_before,H251N Before,H251N,least_squares,21876022202.229,10027.9826200314,0.225,0.174,0.403,1.15299999999998,1154
hcm_acute,H251N Mava acute,H251N,least_squares,21876022202.229,3298.34774364503,0.161,0.134,0.38,1.18499999999998,1186
hcm_24h,H251N Mava 24 h,H251N,least_squares,21876022202.229,5345.04423850017,0.257,0.16,0.466,1.15299999999998,1154
